Years,CO2,CH4,NOx
1944,8377.774642,138.9310562,36.03881656
1945,7621.090604,141.022964,35.5096996
1946,8344.523463,142.7064022,35.50602087
1947,9027.474124,144.7944965,37.73867603
1948,9393.938985,147.2720295,40.05786822
1949,9334.309155,150.2157149,38.96806771
1950,10044.66935,152.2010084,43.13346535
1951,11290.69099,155.2719352,43.1993278
1952,11518.76401,160.5733576,44.29775813
1953,11706.25609,165.6818323,46.15027419
1954,12085.37713,170.3710079,47.14223947
1955,12923.06379,174.7404471,50.45064783
1956,13695.21983,180.6711175,53.89237306
1957,14153.07212,186.0555677,56.50215517
1958,14642.00173,188.3855399,55.97930462
1959,14941.19786,192.6867573,57.53015334
1960,15353.90678,197.2611005,59.57552345
1961,15695.77643,205.1383413,61.54958482
1962,16083.68449,207.2122992,63.50039853
1963,16722.31763,216.1922656,67.40220069
1964,17266.28028,216.556163,69.7992133
1965,17924.48137,222.6664157,72.53323808
1966,18518.22743,226.3106958,75.0452159
1967,19135.12072,232.3331465,79.47428379
1968,19720.54151,235.3354027,83.46364336
1969,20540.23517,239.1848516,85.61259583
1970,21456.95682,244.4183955,91.39020745
1971,21678.12813,249.2895331,93.99546396
1972,22109.18551,257.2102054,99.31304654
1973,23064.16218,260.294725,102.6103475
1974,22861.3745,261.8082771,102.0759777
1975,22836.19669,263.0585486,101.0543663
1976,23873.37797,269.9482097,106.0477677
1977,24612.35105,274.0301524,108.5856192
1978,25215.439,276.3333545,112.5596328
1979,25589.01092,281.6000656,115.0059619
1980,25266.66414,283.3464702,114.1861796
1981,24889.46718,279.7894207,112.0545426
1982,24681.4932,287.6693154,112.1881415
1983,25343.62707,281.6176584,109.3274027
1984,25945.12239,285.0030452,112.7424917
1985,26305.73628,285.6752697,114.505137
1986,26803.40164,290.8084488,115.769763
1987,27328.50313,295.0485147,119.6837541
1988,28027.36201,298.6854951,124.1495603
1989,28374.72758,302.1641744,125.267831
1990,27966.71914,305.2725547,125.6585787
1991,28681.58913,318.7311921,130.3728476
1992,28688.84032,299.4017955,127.1693521
1993,28363.26228,299.4425141,130.5411332
1994,28376.6822,310.2518368,132.2742148
1995,28815.25236,305.4095889,132.8622773
1996,29248.04657,307.2912075,132.861569
1997,32092.80975,331.2889198,137.6010869
1998,29798.19682,315.3326212,139.0513188
1999,29186.43353,309.4083709,134.49403
2000,29661.88015,310.1868098,135.5333367
2001,29018.34355,312.8963787,135.9063122
2002,29933.39529,322.2788312,137.6195703
2003,30509.19137,328.1242242,140.1926459
2004,32433.49191,338.9417722,146.3502013
2005,33416.62986,346.3955546,149.8499947
2006,34631.86563,356.4696896,153.1895928
2007,35352.2328,355.0225755,158.089275
2008,34451.21047,360.4917105,157.774666
2009,34225.39115,364.2003634,152.6770747
2010,36133.83606,370.8962528,155.4203535
2011,37266.02926,372.6576832,159.2761931
2012,37953.91187,380.8097666,158.239988
2013,38762.71103,381.5943928,156.0375565
2014,39630.94805,387.8735392,155.6402255
2015,39152.7263,388.0727957,155.52045
2016,39282.983726,379.95643015999997,153.30408646
2017,39413.241152,371.84006461999996,151.08772292
2018,39543.498578,363.72369908,148.87135938
2019,39673.756004,355.60733354,146.65499584
2020,39804.01343,347.490968,144.4386323
2021,39297.054452,341.32708206,140.9453103
2022,38790.095474,335.16319612,137.45198829999998
2023,38283.136496,328.99931018,133.9586663
2024,37776.177518,322.83542424,130.4653443
2025,37269.21854,316.6715383,126.9720223
2026,36762.259562,310.50765236,123.4787003
2027,36255.300584,304.34376642,119.9853783
2028,35748.341605999994,298.17988048,116.4920563
2029,35241.382628,292.01599454,112.9987343
2030,34734.42365,285.8521086,109.5054123
2031,33911.899554,281.54591252,107.827573365
2032,33089.375457999995,277.23971644,106.14973443
2033,32266.851362,272.93352036,104.471895495
2034,31444.327266,268.62732428,102.79405656
2035,30621.80317,264.3211282,101.116217625
2036,29799.279074,260.01493212,99.43837869
2037,28976.754978,255.70873604,97.760539755
2038,28154.230882,251.40253996,96.08270082
2039,27331.706786,247.09634388,94.404861885
2040,26509.18269,242.7901478,92.72702295
2041,25654.618332,239.62201298,90.902116262
2042,24800.053974,236.45387816,89.07720957400001
2043,23945.489616000003,233.28574334,87.25230288600001
2044,23090.925258000003,230.11760852,85.42739619800001
2045,22236.3609,226.9494737,83.60248951
2046,21381.796542000004,223.78133888,81.777582822
2047,20527.232184,220.61320406,79.952676134
2048,19672.667826,217.44506924,78.127769446
2049,18818.103468,214.27693442,76.302862758
2050,17963.53911,211.1087996,74.47795607
2051,17219.983065,209.08707377,73.75576614100001
2052,16476.427020000003,207.06534794,73.033576212
2053,15732.870975000002,205.04362211,72.311386283
2054,14989.31493,203.02189628,71.589196354
2055,14245.758885,201.00017044999998,70.867006425
2056,13502.202840000002,198.97844462,70.144816496
2057,12758.646795,196.95671879,69.422626567
2058,12015.09075,194.93499296,68.700436638
2059,11271.534705000002,192.91326713,67.97824670899999
2060,10527.97866,190.8915413,67.25605678
2061,9922.8136263,188.44601835,66.458850968
2062,9317.6485926,186.0004954,65.66164515599999
2063,8712.4835589,183.55497245,64.86443934399999
2064,8107.3185252,181.1094495,64.067233532
2065,7502.1534915,178.66392654999999,63.27002772
2066,6896.9884578,176.2184036,62.472821908
2067,6291.8234241,173.77288065,61.675616096
2068,5686.6583904,171.3273577,60.878410284
2069,5081.4933567,168.88183475,60.081204472
2070,4476.328323,166.4363118,59.28399866
2071,3700.1911636,163.72389746,58.332834043000005
2072,2924.0540042,161.01148312,57.381669426
2073,2147.9168448,158.29906878,56.430504809
2074,1371.7796853999998,155.58665444,55.479340192
2075,595.6425259999996,152.8742401,54.528175575000006
2076,-180.49463339999969,150.16182576,53.577010958
2077,-956.6317928,147.44941142,52.625846341
2078,-1732.7689522,144.73699707999998,51.674681724
2079,-2508.9061116000003,142.02458274,50.723517107000006
2080,-3285.043271,139.3121684,49.77235249
2081,-3795.0572404,138.39392019,49.248274489
2082,-4305.0712098,137.47567198,48.724196488
2083,-4815.085179199999,136.55742376999999,48.200118487000005
2084,-5325.0991486,135.63917555999998,47.676040486000005
2085,-5835.113117999999,134.72092735,47.151962485
2086,-6345.1270874,133.80267914,46.627884484
2087,-6855.141056799999,132.88443093,46.103806483
2088,-7365.1550262,131.96618272,45.579728482
2089,-7875.168995599999,131.04793451,45.055650481
2090,-8385.182965,130.1296863,44.53157248
2091,-8408.4432905,129.33625196,44.201411901
2092,-8431.703616,128.54281762,43.871251322
2093,-8454.9639415,127.74938328,43.541090743
2094,-8478.224267,126.95594894,43.210930164
2095,-8501.4845925,126.16251460000001,42.880769585
2096,-8524.744918,125.36908026,42.550609006
2097,-8548.0052435,124.57564592,42.220448427
2098,-8571.265569,123.78221158,41.890287848
2099,-8594.5258945,122.98877724,41.560127269
2100,-8617.78622,122.1953429,41.22996669
2101,-8559.8055048,121.84178705,41.074083936
2102,-8501.8247896,121.4882312,40.918201182
2103,-8443.8440744,121.13467535000001,40.762318428
2104,-8385.8633592,120.7811195,40.606435674
2105,-8327.882644,120.42756365,40.45055292
2106,-8269.9019288,120.0740078,40.294670166
2107,-8211.9212136,119.72045195000001,40.138787412
2108,-8153.940498399999,119.3668961,39.982904658
2109,-8095.9597832,119.01334025,39.827021904
2110,-8037.979068,118.6597844,39.67113915
2111,-7979.998352799999,118.30622856000001,39.515256397
2112,-7922.0176376,117.95267272000001,39.359373644
2113,-7864.0369224,117.59911688,39.203490891
2114,-7806.0562072,117.24556104,39.047608138
2115,-7748.075492,116.8920052,38.891725385
2116,-7690.0947768,116.53844936,38.735842632
2117,-7632.1140616,116.18489352,38.579959879
2118,-7574.1333464,115.83133767999999,38.424077126
2119,-7516.1526312,115.47778183999999,38.268194373
2120,-7458.171916,115.124226,38.11231162
2121,-7400.1912008,114.77067015,37.956428866
2122,-7342.2104856,114.4171143,37.800546112
2123,-7284.2297704,114.06355844999999,37.644663358
2124,-7226.2490552,113.7100026,37.488780604
2125,-7168.2683400000005,113.35644675,37.33289785
2126,-7110.2876248,113.0028909,37.177015096
2127,-7052.3069096,112.64933504999999,37.021132342
2128,-6994.3261944,112.2957792,36.865249588
2129,-6936.3454792,111.94222335,36.709366834
2130,-6878.364764,111.5886675,36.55348408
2131,-6820.3840488,111.23511166,36.397601326
2132,-6762.4033336,110.88155582,36.241718572
2133,-6704.4226184,110.52799998,36.085835818
2134,-6646.4419032,110.17444414,35.929953064
2135,-6588.461187999999,109.82088830000001,35.77407031
2136,-6530.4804728,109.46733246,35.618187556
2137,-6472.4997576,109.11377662,35.462304802
2138,-6414.519042399999,108.76022078,35.306422048
2139,-6356.5383272,108.40666494,35.150539294
2140,-6298.557612,108.0531091,34.99465654
2141,-6126.201887599999,107.69955325000001,34.838773787
2142,-5953.8461632,107.3459974,34.682891034
2143,-5781.4904388,106.99244155,34.527008281
2144,-5609.1347144,106.6388857,34.371125528
2145,-5436.77899,106.28532985000001,34.215242775
2146,-5264.4232656,105.931774,34.059360022
2147,-5092.0675412,105.57821815,33.903477269
2148,-4919.7118168,105.2246623,33.747594516
2149,-4747.3560924,104.87110645000001,33.591711763
2150,-4575.000368,104.5175506,33.43582901
2151,-4460.6253588,104.16399475,33.279946256
2152,-4346.2503496,103.81043890000001,33.124063502
2153,-4231.8753404,103.45688305,32.968180748
2154,-4117.5003312,103.10332720000001,32.812297994
2155,-4003.125322,102.74977135,32.65641524
2156,-3888.7503128,102.3962155,32.500532486
2157,-3774.3753036,102.04265965,32.344649732
2158,-3660.0002944,101.6891038,32.188766978
2159,-3545.6252852,101.33554795,32.032884224
2160,-3431.250276,100.9819921,31.87700147
2161,-3316.8752668,100.628436256,31.721118716
2162,-3202.5002576,100.274880412,31.565235962
2163,-3088.1252484,99.921324568,31.409353208
2164,-2973.7502392,99.567768724,31.253470454
2165,-2859.37523,99.21421287999999,31.0975877
2166,-2745.0002208,98.86065703599999,30.941704946
2167,-2630.6252116,98.507101192,30.785822192
2168,-2516.2502024,98.153545348,30.629939438
2169,-2401.8751932,97.799989504,30.474056684
2170,-2287.500184,97.44643366,30.31817393
2171,-2173.1251748,97.09287781399999,30.162291176
2172,-2058.7501656,96.739321968,30.006408422
2173,-1944.3751564,96.385766122,29.850525668
2174,-1830.0001472,96.032210276,29.694642914
2175,-1715.625138,95.67865443,29.53876016
2176,-1601.2501288,95.325098584,29.382877406
2177,-1486.8751196,94.97154273800001,29.226994652
2178,-1372.5001104,94.617986892,29.071111898
2179,-1258.1251012,94.264431046,28.915229144
2180,-1143.750092,93.9108752,28.75934639
2181,-1029.3750828,93.557319354,28.603463637
2182,-915.0000736,93.20376350800001,28.447580884
2183,-800.6250644,92.850207662,28.291698131
2184,-686.2500552,92.49665181600001,28.135815378
2185,-571.875046,92.14309597,27.979932625
2186,-457.5000368000001,91.789540124,27.824049872
2187,-343.12502760000007,91.435984278,27.668167119
2188,-228.75001840000004,91.082428432,27.512284366
2189,-114.37500920000002,90.72887258600001,27.356401613
2190,0.0,90.37531674,27.20051886
2191,0.0,90.021760893,27.044636106
2192,0.0,89.668205046,26.888753352
2193,0.0,89.314649199,26.732870598
2194,0.0,88.961093352,26.576987844
2195,0.0,88.60753750500001,26.42110509
2196,0.0,88.253981658,26.265222336
2197,0.0,87.900425811,26.109339582
2198,0.0,87.54686996400001,25.953456828
2199,0.0,87.193314117,25.797574074
2200,0.0,86.83975827,25.64169132
2201,0.0,86.486202424,25.485808566
2202,0.0,86.132646578,25.329925812
2203,0.0,85.779090732,25.174043058
2204,0.0,85.42553488600001,25.018160304
2205,0.0,85.07197904,24.86227755
2206,0.0,84.718423194,24.706394796
2207,0.0,84.364867348,24.550512042
2208,0.0,84.011311502,24.394629288
2209,0.0,83.657755656,24.238746534
2210,0.0,83.30419981,24.08286378
2211,0.0,82.950643964,23.926981027
2212,0.0,82.597088118,23.771098274
2213,0.0,82.243532272,23.615215521
2214,0.0,81.889976426,23.459332768
2215,0.0,81.53642058,23.303450015000003
2216,0.0,81.18286473399999,23.147567262000003
2217,0.0,80.829308888,22.991684509
2218,0.0,80.475753042,22.835801756
2219,0.0,80.122197196,22.679919003
2220,0.0,79.76864135,22.52403625
2221,0.0,79.415085503,22.368153496
2222,0.0,79.06152965599999,22.212270742
2223,0.0,78.707973809,22.056387988
2224,0.0,78.354417962,21.900505234
2225,0.0,78.00086211499999,21.74462248
2226,0.0,77.647306268,21.588739726
2227,0.0,77.293750421,21.432856972
2228,0.0,76.940194574,21.276974218
2229,0.0,76.586638727,21.121091464
2230,0.0,76.23308288,20.96520871
2231,0.0,75.87952703399999,20.809325956
2232,0.0,75.525971188,20.653443202
2233,0.0,75.172415342,20.497560448
2234,0.0,74.818859496,20.341677694
2235,0.0,74.46530365,20.18579494
2236,0.0,74.11174780399999,20.029912186
2237,0.0,73.758191958,19.874029432
2238,0.0,73.40463611199999,19.718146678
2239,0.0,73.051080266,19.562263924
2240,0.0,72.69752442,19.40638117
2241,0.0,72.343968574,19.250498417
2242,0.0,71.990412728,19.094615664
2243,0.0,71.63685688199999,18.938732911
2244,0.0,71.283301036,18.782850158
2245,0.0,70.92974519,18.626967405
2246,0.0,70.576189344,18.471084652
2247,0.0,70.222633498,18.315201899
2248,0.0,69.869077652,18.159319146
2249,0.0,69.51552180600001,18.003436393
2250,0.0,69.16196596,17.84755364
2251,0.0,69.16196596,17.84755364
2252,0.0,69.16196596,17.84755364
2253,0.0,69.16196596,17.84755364
2254,0.0,69.16196596,17.84755364
2255,0.0,69.16196596,17.84755364
2256,0.0,69.16196596,17.84755364
2257,0.0,69.16196596,17.84755364
2258,0.0,69.16196596,17.84755364
2259,0.0,69.16196596,17.84755364
2260,0.0,69.16196596,17.84755364
2261,0.0,69.16196596,17.84755364
2262,0.0,69.16196596,17.84755364
2263,0.0,69.16196596,17.84755364
2264,0.0,69.16196596,17.84755364
2265,0.0,69.16196596,17.84755364
2266,0.0,69.16196596,17.84755364
2267,0.0,69.16196596,17.84755364
2268,0.0,69.16196596,17.84755364
2269,0.0,69.16196596,17.84755364
2270,0.0,69.16196596,17.84755364
2271,0.0,69.16196596,17.84755364
2272,0.0,69.16196596,17.84755364
2273,0.0,69.16196596,17.84755364
2274,0.0,69.16196596,17.84755364
2275,0.0,69.16196596,17.84755364
2276,0.0,69.16196596,17.84755364
2277,0.0,69.16196596,17.84755364
2278,0.0,69.16196596,17.84755364
2279,0.0,69.16196596,17.84755364
2280,0.0,69.16196596,17.84755364
2281,0.0,69.16196596,17.84755364
2282,0.0,69.16196596,17.84755364
2283,0.0,69.16196596,17.84755364
2284,0.0,69.16196596,17.84755364
2285,0.0,69.16196596,17.84755364
2286,0.0,69.16196596,17.84755364
2287,0.0,69.16196596,17.84755364
2288,0.0,69.16196596,17.84755364
2289,0.0,69.16196596,17.84755364
2290,0.0,69.16196596,17.84755364
2291,0.0,69.16196596,17.84755364
2292,0.0,69.16196596,17.84755364
2293,0.0,69.16196596,17.84755364
2294,0.0,69.16196596,17.84755364
2295,0.0,69.16196596,17.84755364
2296,0.0,69.16196596,17.84755364
2297,0.0,69.16196596,17.84755364
2298,0.0,69.16196596,17.84755364
2299,0.0,69.16196596,17.84755364
2300,0.0,69.16196596,17.84755364
2301,0.0,69.16196596,17.84755364
2302,0.0,69.16196596,17.84755364
2303,0.0,69.16196596,17.84755364
2304,0.0,69.16196596,17.84755364
2305,0.0,69.16196596,17.84755364
2306,0.0,69.16196596,17.84755364
2307,0.0,69.16196596,17.84755364
2308,0.0,69.16196596,17.84755364
2309,0.0,69.16196596,17.84755364
2310,0.0,69.16196596,17.84755364
2311,0.0,69.16196596,17.84755364
2312,0.0,69.16196596,17.84755364
2313,0.0,69.16196596,17.84755364
2314,0.0,69.16196596,17.84755364
2315,0.0,69.16196596,17.84755364
2316,0.0,69.16196596,17.84755364
2317,0.0,69.16196596,17.84755364
2318,0.0,69.16196596,17.84755364
2319,0.0,69.16196596,17.84755364
2320,0.0,69.16196596,17.84755364
2321,0.0,69.16196596,17.84755364
2322,0.0,69.16196596,17.84755364
2323,0.0,69.16196596,17.84755364
2324,0.0,69.16196596,17.84755364
2325,0.0,69.16196596,17.84755364
2326,0.0,69.16196596,17.84755364
2327,0.0,69.16196596,17.84755364
2328,0.0,69.16196596,17.84755364
2329,0.0,69.16196596,17.84755364
2330,0.0,69.16196596,17.84755364
2331,0.0,69.16196596,17.84755364
2332,0.0,69.16196596,17.84755364
2333,0.0,69.16196596,17.84755364
2334,0.0,69.16196596,17.84755364
2335,0.0,69.16196596,17.84755364
2336,0.0,69.16196596,17.84755364
2337,0.0,69.16196596,17.84755364
2338,0.0,69.16196596,17.84755364
2339,0.0,69.16196596,17.84755364
2340,0.0,69.16196596,17.84755364
2341,0.0,69.16196596,17.84755364
2342,0.0,69.16196596,17.84755364
2343,0.0,69.16196596,17.84755364
2344,0.0,69.16196596,17.84755364
2345,0.0,69.16196596,17.84755364
2346,0.0,69.16196596,17.84755364
2347,0.0,69.16196596,17.84755364
2348,0.0,69.16196596,17.84755364
2349,0.0,69.16196596,17.84755364
2350,0.0,69.16196596,17.84755364
2351,0.0,69.16196596,17.84755364
2352,0.0,69.16196596,17.84755364
2353,0.0,69.16196596,17.84755364
2354,0.0,69.16196596,17.84755364
2355,0.0,69.16196596,17.84755364
2356,0.0,69.16196596,17.84755364
2357,0.0,69.16196596,17.84755364
2358,0.0,69.16196596,17.84755364
2359,0.0,69.16196596,17.84755364
2360,0.0,69.16196596,17.84755364
2361,0.0,69.16196596,17.84755364
2362,0.0,69.16196596,17.84755364
2363,0.0,69.16196596,17.84755364
2364,0.0,69.16196596,17.84755364
2365,0.0,69.16196596,17.84755364
2366,0.0,69.16196596,17.84755364
2367,0.0,69.16196596,17.84755364
2368,0.0,69.16196596,17.84755364
2369,0.0,69.16196596,17.84755364
2370,0.0,69.16196596,17.84755364
2371,0.0,69.16196596,17.84755364
2372,0.0,69.16196596,17.84755364
2373,0.0,69.16196596,17.84755364
2374,0.0,69.16196596,17.84755364
2375,0.0,69.16196596,17.84755364
2376,0.0,69.16196596,17.84755364
2377,0.0,69.16196596,17.84755364
2378,0.0,69.16196596,17.84755364
2379,0.0,69.16196596,17.84755364
2380,0.0,69.16196596,17.84755364
2381,0.0,69.16196596,17.84755364
2382,0.0,69.16196596,17.84755364
2383,0.0,69.16196596,17.84755364
2384,0.0,69.16196596,17.84755364
2385,0.0,69.16196596,17.84755364
2386,0.0,69.16196596,17.84755364
2387,0.0,69.16196596,17.84755364
2388,0.0,69.16196596,17.84755364
2389,0.0,69.16196596,17.84755364
2390,0.0,69.16196596,17.84755364
2391,0.0,69.16196596,17.84755364
2392,0.0,69.16196596,17.84755364
2393,0.0,69.16196596,17.84755364
2394,0.0,69.16196596,17.84755364
2395,0.0,69.16196596,17.84755364
2396,0.0,69.16196596,17.84755364
2397,0.0,69.16196596,17.84755364
2398,0.0,69.16196596,17.84755364
2399,0.0,69.16196596,17.84755364
2400,0.0,69.16196596,17.84755364
2401,0.0,69.16196596,17.84755364
2402,0.0,69.16196596,17.84755364
2403,0.0,69.16196596,17.84755364
2404,0.0,69.16196596,17.84755364
2405,0.0,69.16196596,17.84755364
2406,0.0,69.16196596,17.84755364
2407,0.0,69.16196596,17.84755364
2408,0.0,69.16196596,17.84755364
2409,0.0,69.16196596,17.84755364
2410,0.0,69.16196596,17.84755364
2411,0.0,69.16196596,17.84755364
2412,0.0,69.16196596,17.84755364
2413,0.0,69.16196596,17.84755364
2414,0.0,69.16196596,17.84755364
2415,0.0,69.16196596,17.84755364
2416,0.0,69.16196596,17.84755364
2417,0.0,69.16196596,17.84755364
2418,0.0,69.16196596,17.84755364
2419,0.0,69.16196596,17.84755364
2420,0.0,69.16196596,17.84755364
